Borough,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile
Islington,Room,20,669,592,685,744
Islington,Studio,40,1084,900,1000,1200
Islington,One Bedroom,400,1604,1387,1520,1750
Islington,Two Bedrooms,330,2139,1700,2046,2399
Islington,Three Bedrooms,140,2568,2080,2400,2817
Islington,Four or More Bedrooms,50,3557,3000,3642,4008
Kensington and Chelsea,Room,40,876,765,852,982
Kensington and Chelsea,Studio,380,1589,1300,1517,1712
Kensington and Chelsea,One Bedroom,1060,2359,1842,2145,2625
Kensington and Chelsea,Two Bedrooms,1070,3173,2383,2903,3597
Kensington and Chelsea,Three Bedrooms,350,4998,3333,4353,6067
Kensington and Chelsea,Four or More Bedrooms,110,8239,5649,7713,9750
Kingston upon Thames,Room,60,510,492,492,550
Kingston upon Thames,Studio,10,870,825,875,900
Kingston upon Thames,One Bedroom,190,1160,1050,1155,1260
Kingston upon Thames,Two Bedrooms,290,1497,1300,1450,1650
Kingston upon Thames,Three Bedrooms,120,1975,1625,1900,2250
Kingston upon Thames,Four or More Bedrooms,50,2554,2100,2450,2850
Lambeth,Room,20,743,650,707,900
Lambeth,Studio,60,926,800,900,1000
Lambeth,One Bedroom,440,1467,1250,1435,1600
Lambeth,Two Bedrooms,570,1838,1550,1750,2000
Lambeth,Three Bedrooms,220,2318,1840,2300,2600
Lambeth,Four or More Bedrooms,100,3228,2600,3145,3601
Lewisham,Room,70,672,592,692,751
Lewisham,Studio,70,989,900,995,1080
Lewisham,One Bedroom,520,1177,1050,1150,1300
Lewisham,Two Bedrooms,680,1454,1300,1428,1600
Lewisham,Three Bedrooms,250,1835,1600,1800,2000
Lewisham,Four or More Bedrooms,110,2416,2000,2379,2650
Merton,Room,10,519,475,475,607
Merton,Studio,10,1000,875,1050,1075
Merton,One Bedroom,170,1315,1150,1300,1450
Merton,Two Bedrooms,350,1651,1350,1575,1850
Merton,Three Bedrooms,160,2267,1710,2100,2675
Merton,Four or More Bedrooms,80,3165,2550,2850,3600
Newham,Room,60,582,450,592,679
Newham,Studio,30,1079,875,1000,1321
Newham,One Bedroom,510,1260,1075,1200,1425
Newham,Two Bedrooms,600,1531,1321,1450,1675
Newham,Three Bedrooms,330,1794,1575,1700,1900
Newham,Four or More Bedrooms,100,2118,1800,2000,2300
Redbridge,Room,60,793,633,642,742
Redbridge,Studio,30,833,750,810,900
Redbridge,One Bedroom,370,1133,1000,1100,1200
Redbridge,Two Bedrooms,600,1362,1250,1343,1450
Redbridge,Three Bedrooms,330,1673,1500,1650,1800
Redbridge,Four or More Bedrooms,120,2140,1840,2025,2350
Richmond upon Thames,Room,10,756,650,792,817
Richmond upon Thames,Studio,40,1009,870,1040,1100
Richmond upon Thames,One Bedroom,340,1299,1150,1275,1400
Richmond upon Thames,Two Bedrooms,540,1752,1500,1670,1900
Richmond upon Thames,Three Bedrooms,240,2356,1777,2200,2750
Richmond upon Thames,Four or More Bedrooms,90,3864,2750,3640,4500
Southwark,Room,10,724,651,692,826
Southwark,Studio,60,1165,1050,1115,1275
Southwark,One Bedroom,810,1536,1300,1500,1733
Southwark,Two Bedrooms,1070,1982,1600,1850,2250
Southwark,Three Bedrooms,330,2416,2000,2300,2700
Southwark,Four or More Bedrooms,160,3326,2775,3250,3650
Sutton,Room,-,..,..,..,..
Sutton,Studio,60,791,725,800,850
Sutton,One Bedroom,380,1001,900,975,1100
Sutton,Two Bedrooms,490,1277,1150,1250,1400
Sutton,Three Bedrooms,170,1666,1500,1610,1800
Sutton,Four or More Bedrooms,50,2304,1950,2250,2600
Tower Hamlets,Room,40,706,592,692,792
Tower Hamlets,Studio,70,1441,1196,1400,1582
Tower Hamlets,One Bedroom,440,1593,1350,1550,1777
Tower Hamlets,Two Bedrooms,530,2013,1650,1850,2147
Tower Hamlets,Three Bedrooms,160,2368,1926,2275,2695
Tower Hamlets,Four or More Bedrooms,40,2996,2600,3000,3450
Waltham Forest,Room,30,544,472,492,567
Waltham Forest,Studio,30,856,720,875,1000
Waltham Forest,One Bedroom,470,1178,1050,1178,1290
Waltham Forest,Two Bedrooms,640,1447,1300,1425,1600
Waltham Forest,Three Bedrooms,300,1750,1550,1700,1900
Waltham Forest,Four or More Bedrooms,80,2131,1900,2138,2398
Wandsworth,Room,40,688,624,700,774
Wandsworth,Studio,30,1113,1000,1050,1200
Wandsworth,One Bedroom,410,1541,1350,1500,1677
Wandsworth,Two Bedrooms,740,1906,1600,1800,2102
Wandsworth,Three Bedrooms,310,2511,2000,2450,2850
Wandsworth,Four or More Bedrooms,180,3421,2700,3350,3950
Westminster,Room,60,849,722,852,938
Westminster,Studio,110,1421,1200,1300,1517
Westminster,One Bedroom,460,2244,1777,2102,2513
Westminster,Two Bedrooms,410,3256,2427,2925,3662
Westminster,Three Bedrooms,140,5008,3185,4013,5612
Westminster,Four or More Bedrooms,40,12194,4767,12500,17333
